applicant_id,annual_income,credit_history_years,late_payments,credit_utilization_pct,open_accounts
A001,35000,3.8,0,28,2
A002,42500,4.3,3,33,6
A003,28900,2.3,0,5,1
A004,40600,2.7,0,15,3
A005,64700,2.8,4,69,9
A006,61000,15.0,3,53,7
A007,31500,1.8,0,29,3
A008,105500,20.2,0,29,8
A009,34800,5.0,9,74,3
A010,28800,7.4,5,97,3
A011,29700,10.9,9,85,3
A012,80500,12.9,4,79,7
A013,23200,4.6,4,81,5
A014,69500,20.4,1,23,9
A015,78100,8.7,4,67,7
A016,90000,16.0,1,13,7
A017,101800,23.3,0,29,6
A018,60900,8.6,6,57,9
A019,37400,2.2,0,20,2
A020,95900,22.3,0,26,7
A021,84400,21.3,1,17,6
A022,41600,12.8,7,61,10
A023,31600,0.3,7,100,4
A024,78700,18.4,0,13,6
A025,53400,2.1,3,60,4
A026,77900,27.8,1,5,9
A027,32600,8.3,5,89,6
A028,55100,7.1,3,57,6
A029,44000,17.8,7,91,4
A030,40100,1.6,0,19,1
A031,34100,7.9,5,74,7
A032,44400,9.2,7,80,2
A033,64000,2.9,0,0,2
A034,86300,13.2,0,14,11
A035,77300,26.3,1,5,6
A036,100000,22.2,0,23,8
A037,56900,10.3,7,48,6
A038,69500,13.8,8,84,7
A039,106000,18.6,0,19,8
A040,58700,2.9,0,29,2
A041,48300,0.8,0,21,2
A042,43900,3.5,1,36,1
A043,41900,1.9,0,26,2
A044,108300,24.3,1,19,7
A045,114000,23.5,0,35,11
A046,44500,4.1,0,14,1
A047,27500,10.6,8,89,5
A048,51300,16.8,4,54,8
A049,92700,14.6,0,7,9
A050,43200,2.9,0,13,4
A051,98200,23.4,1,13,8
A052,22900,8.8,7,82,5
A053,32700,4.5,7,96,1
A054,51200,2.3,0,34,2
A055,38400,10.7,5,92,6
A056,61100,10.4,3,63,5
A057,74300,13.7,2,12,7
A058,65000,2.7,0,13,1
A059,28100,0.3,0,24,2
A060,46600,0.7,1,33,1
A061,59500,17.4,4,87,4
A062,58200,16.9,8,82,6
A063,71300,12.7,4,67,7
A064,40100,8.2,2,65,7
A065,41400,13.8,2,92,5
A066,45100,14.1,5,78,4
A067,94000,16.5,0,20,8
A068,23400,0.6,2,16,2
A069,104200,23.1,0,17,8
A070,47000,10.7,9,84,3
A071,23900,7.0,8,82,1
A072,86700,11.4,0,18,8
A073,84100,8.6,6,59,8
A074,64800,12.8,2,56,6
A075,90700,17.0,0,7,10
A076,60800,9.5,2,76,6
A077,31900,8.5,3,84,5
A078,100000,7.7,0,16,4
A079,100400,25.6,0,12,6
A080,95000,14.8,2,0,8
A081,48800,1.9,0,20,2
A082,105700,19.8,0,8,11
A083,40900,12.7,8,83,4
A084,32400,5.0,2,79,4
A085,103600,31.7,0,23,8
A086,21700,1.2,0,21,1
A087,38000,5.9,6,100,3
A088,29300,14.4,5,100,7
A089,23800,3.0,0,15,3
A090,32400,8.4,2,94,4
A091,35300,12.3,7,98,4
A092,87400,18.4,0,29,5
A093,83300,25.1,1,15,4
A094,64100,13.6,5,77,4
A095,30700,19.4,13,90,5
A096,57400,12.6,3,64,8
A097,90200,18.1,0,20,7
A098,30900,12.9,7,90,1
A099,56400,2.0,0,33,3
A100,42300,0.3,5,64,7
A101,45100,0.3,7,85,5
A102,79700,21.7,0,23,6
A103,84000,18.4,0,22,7
A104,24000,2.7,7,95,3
A105,40200,4.3,3,70,3
A106,41700,2.8,0,18,1
A107,44300,6.2,9,75,3
A108,66000,0.3,4,52,6
A109,48200,2.5,2,55,5
A110,98600,11.9,0,21,5
A111,44100,3.8,0,30,1
