year,origin_country,asylum_country,population
2015,Afghanistan,Pakistan,1400000.0
2016,Afghanistan,Pakistan,1400000.0
2017,Afghanistan,Pakistan,1400000.0
2018,Afghanistan,Pakistan,1400000.0
2019,Afghanistan,Pakistan,1400000.0
2020,Afghanistan,Pakistan,1400000.0
2021,Afghanistan,Pakistan,1500000.0
2022,Afghanistan,Pakistan,1700000.0
2023,Afghanistan,Pakistan,1600000.0
2015,Myanmar,Bangladesh,30000.0
2016,Myanmar,Bangladesh,35000.0
2017,Myanmar,Bangladesh,700000.0
2018,Myanmar,Bangladesh,900000.0
2019,Myanmar,Bangladesh,900000.0
2020,Myanmar,Bangladesh,900000.0
2021,Myanmar,Bangladesh,900000.0
2022,Myanmar,Bangladesh,900000.0
2023,Myanmar,Bangladesh,900000.0
2015,Somalia,Kenya,420000.0
2016,Somalia,Kenya,400000.0
2017,Somalia,Kenya,350000.0
2018,Somalia,Kenya,300000.0
2019,Somalia,Kenya,260000.0
2020,Somalia,Kenya,220000.0
2021,Somalia,Kenya,200000.0
2022,Somalia,Kenya,180000.0
2023,Somalia,Kenya,160000.0
2015,South Sudan,Uganda,200000.0
2016,South Sudan,Uganda,400000.0
2017,South Sudan,Uganda,700000.0
2018,South Sudan,Uganda,800000.0
2019,South Sudan,Uganda,850000.0
2020,South Sudan,Uganda,
2021,South Sudan,Uganda,850000.0
2022,South Sudan,Uganda,870000.0
2023,South Sudan,Uganda,900000.0
2023,Sudan,Chad,400000.0
2015,Syria,Turkey,2500000.0
2016,Syria,Turkey,2900000.0
2017,Syria,Turkey,3200000.0
2018,Syria,Turkey,3400000.0
2019,Syria,Turkey,3600000.0
2020,Syria,Turkey,3600000.0
2021,Syria,Turkey,3700000.0
2022,Syria,Turkey,3600000.0
2023,Syria,Turkey,3400000.0
2022,Ukraine,Poland,1500000.0
2023,Ukraine,Poland,1000000.0
2015,Venezuela,Colombia,15000.0
2016,Venezuela,Colombia,60000.0
2017,Venezuela,Colombia,250000.0
2018,Venezuela,Colombia,700000.0
2019,Venezuela,Colombia,1200000.0
2020,Venezuela,Colombia,1700000.0
2021,Venezuela,Colombia,1800000.0
2022,Venezuela,Colombia,1900000.0
2023,Venezuela,Colombia,2000000.0
