listener_id,hours_per_week,distinct_artists
L001,4.4,8
L002,17.5,36
L003,15.1,13
L004,8.6,16
L005,14.6,31
L006,8.4,8
L007,29.1,3
L008,25.0,8
L009,35.1,10
L010,12.1,18
L011,25.6,6
L012,5.3,7
L013,18.2,32
L014,6.1,11
L015,3.3,6
L016,16.8,35
L017,25.6,7
L018,17.3,33
L019,13.8,18
L020,39.2,6
L021,12.3,34
L022,18.1,35
L023,27.0,8
L024,14.7,31
L025,11.1,10
L026,16.0,14
L027,28.1,32
L028,22.3,35
L029,11.6,16
L030,9.7,13
L031,27.4,7
L032,7.1,8
L033,15.5,14
L034,7.4,5
L035,19.7,32
L036,24.5,36
L037,13.0,12
L038,31.0,9
L039,4.2,10
L040,10.8,18
L041,21.9,26
L042,15.7,33
L043,16.0,29
L044,6.1,7
L045,5.4,9
L046,18.6,37
L047,10.8,22
L048,0.5,7
L049,22.9,14
L050,8.5,7
L051,15.7,21
L052,7.8,3
L053,27.6,8
L054,28.3,6
L055,5.8,9
L056,11.0,16
L057,14.0,18
L058,7.4,10
L059,5.0,3
L060,31.1,11
L061,28.2,7
L062,6.8,9
L063,15.0,20
L064,15.0,22
L065,6.7,9
L066,3.7,3
L067,9.1,3
L068,4.0,5
L069,8.2,7
L070,24.4,33
L071,6.1,7
L072,24.0,5
L073,6.9,4
L074,13.4,19
L075,6.3,11
L076,8.0,11
L077,10.8,15
L078,15.6,42
L079,19.3,25
L080,14.6,11
L081,13.4,17
L082,4.8,8
L083,17.2,34
L084,7.6,9
L085,4.7,9
L086,5.6,3
L087,21.4,31
L088,11.1,16
L089,10.9,9
L090,13.9,31
L091,17.6,19
L092,30.9,3
L093,17.9,30
L094,19.9,29
L095,6.5,4
L096,15.8,12
L097,18.3,36
L098,5.1,8
L099,15.9,9
L100,6.0,11
L101,6.2,6
L102,14.1,13
L103,10.1,22
L104,24.6,8
L105,7.3,9
L106,26.2,5
L107,13.1,10
L108,14.4,16
L109,31.7,5
L110,10.2,15
L111,29.1,8
L112,24.9,4
L113,5.8,8
L114,7.3,14
L115,26.1,5
L116,28.8,3
L117,19.8,31
L118,5.3,5
L119,21.1,30
L120,14.0,30
L121,18.6,37
L122,10.2,12
L123,5.6,9
L124,34.8,5
L125,10.7,12
L126,8.1,8
L127,10.1,19
L128,5.1,12
L129,12.0,20
L130,19.1,6
L131,2.9,4
L132,13.6,18
L133,4.8,9
L134,12.5,9
L135,12.6,27
L136,11.5,19
L137,25.2,6
L138,7.6,11
L139,28.8,8
L140,18.6,29
L141,12.8,16
L142,14.3,27
L143,22.9,3
L144,13.5,11
L145,29.0,6
L146,7.4,13
L147,4.8,9
L148,12.9,15
L149,16.4,35
L150,10.5,16
L151,4.1,10
L152,6.8,8
L153,12.3,17
L154,27.7,6
L155,16.5,29
L156,29.6,5
L157,6.4,7
L158,13.1,15
L159,25.1,32
L160,31.4,4
L161,4.8,14
L162,6.8,5
L163,30.1,5
L164,7.4,12
L165,16.2,18
L166,13.6,25
L167,15.3,27
L168,24.5,2
L169,17.0,35
L170,3.1,1
L171,31.5,1
L172,32.4,7
L173,6.5,11
L174,1.5,10
L175,2.0,8
L176,18.7,14
L177,14.3,34
L178,8.1,12
L179,12.1,15
L180,8.5,23
