object_id,city,county,region,development,locality,on_road,rural_urban,speed_limit,traffic_control,weather,workzone,bike_age,bike_age_group,bike_alcohol,bike_alcohol_drugs,bike_direction,bike_injury,bike_position,bike_race,bike_sex,driver_age,driver_age_group,driver_alcohol,driver_alcohol_drugs,driver_est_speed,driver_injury,driver_race,driver_sex,driver_vehicle_type,crash_alcohol,crash_date,crash_day,crash_group,crash_hour,crash_location,crash_month,crash_severity,crash_time,crash_type,crash_year,ambulance_req,hit_run,light_condition,road_character,road_class,road_condition,road_configuration,road_defects,road_feature,road_surface,num_lanes,geo_point
1686,None - Rural Crash,Wayne,Coastal,"Farms, Woods, Pastures",Rural (<30% Developed),SR 1915,Rural,50 - 55  MPH,No Control Present,Clear,No,52,50-59,No,NA,With Traffic,B: Evident Injury,Bike Lane / Paved Shoulder,Black,Male,34,30-39,No,NA,51-55 mph,O: No Injury,White,Male,"Single Unit Truck (2-Axle, 6-Tire)",No,11DEC2013,Wednesday,Motorist Overtaking Bicyclist,6,Non-Intersection,December,B: Evident Injury,06:10:00,Motorist Overtaking - Undetected Bicyclist,2013,Yes,No,Dark - Roadway Not Lighted,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,2 lanes,"35.3336070056, -77.9955023901"
1674,Henderson,Vance,Piedmont,Residential,Mixed (30% To 70% Developed),NICHOLAS ST,Urban,30 - 35  MPH,Stop Sign,Clear,No,66,60-69,No,NA,With Traffic,C: Possible Injury,Travel Lane,Black,Male,NA,NA,Missing,NA,6-10 mph,Unknown Injury,Unknown/Missing,NA,NA,No,20NOV2013,Wednesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,20,Intersection,November,C: Possible Injury,20:41:00,Bicyclist Ride Out - Sign-Controlled Intersection,2013,No,Yes,NA,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",NA,T-Intersection,Smooth Asphalt,2 lanes,"36.3151872016, -78.4057025669"
1673,None - Rural Crash,Lincoln,Piedmont,"Farms, Woods, Pastures",Rural (<30% Developed),US 321,Rural,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,33,30-39,No,NA,With Traffic,C: Possible Injury,Travel Lane,White,Male,37,30-39,No,NA,41-45 mph,O: No Injury,Hispanic,Female,Passenger Car,No,03NOV2013,Sunday,Motorist Overtaking Bicyclist,18,Non-Intersection,November,C: Possible Injury,18:05:00,Motorist Overtaking - Undetected Bicyclist,2013,Yes,No,Dark - Roadway Not Lighted,Straight - Grade,US Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,2 lanes,"35.5246969313, -81.2295033733"
1687,Whiteville,Columbus,Coastal,Commercial,Urban (>70% Developed),W BURKHEAD ST,Urban,30 - 35  MPH,No Control Present,Rain,No,52,50-59,Yes,NA,NA,C: Possible Injury,NA,Black,Male,55,50-59,No,NA,11-15 mph,O: No Injury,Black,Male,Passenger Car,Yes,14DEC2013,Saturday,Bicyclist Failed to Yield - Signalized Intersection,18,Intersection,December,C: Possible Injury,18:34:00,Bicyclist Ride Out - Signalized  Intersection,2013,Yes,No,Dark - Lighted Roadway,Straight - Level,Local Street,"Water (Standing, Moving)","Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,1 lane,"34.3314967628, -78.7080025567"
1653,Wilmington,New Hanover,Coastal,Residential,Urban (>70% Developed),RACINE DR,Urban,NA,Stop And Go Signal,Clear,No,22,20-24,No,NA,Facing Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Female,25,25-29,No,NA,NA,O: No Injury,White,Male,Passenger Car,No,24OCT2013,Thursday,Motorist Failed to Yield - Signalized Intersection,13,Intersection,October,C: Possible Injury,13:27:00,Motorist Drive Out - Right Turn on Red,2013,Yes,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Concrete,8 lanes,"34.2347367682, -77.8694022982"
1665,None - Rural Crash,Robeson,Coastal,"Farms, Woods, Pastures",Rural (<30% Developed),SR 1513,Rural,50 - 55  MPH,No Control Present,Cloudy,No,15,11-15,No,NA,With Traffic,B: Evident Injury,Travel Lane,Native American,Male,17,0-19,No,NA,41-45 mph,O: No Injury,Native American,Female,Passenger Car,No,03DEC2013,Tuesday,Motorist Overtaking Bicyclist,17,Non-Intersection,December,B: Evident Injury,17:30:00,Motorist Overtaking - Undetected Bicyclist,2013,Yes,No,Dusk,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,2 lanes,"34.7061968304, -79.1307027023"
1642,None - Rural Crash,Richmond,Piedmont,Residential,Mixed (30% To 70% Developed),SR 1903,Rural,30 - 35  MPH,No Control Present,Clear,No,41,40-49,No,NA,Facing Traffic,B: Evident Injury,Bike Lane / Paved Shoulder,White,Female,NA,NA,Missing,NA,31-35 mph,Unknown Injury,Unknown/Missing,NA,Van,No,20NOV2013,Wednesday,Head-On,17,Non-Intersection,November,B: Evident Injury,17:46:00,Head-On - Bicyclist,2013,Yes,Yes,Dark - Roadway Not Lighted,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,2 lanes,"34.912756854, -79.7540029001"
1675,Raleigh,Wake,Piedmont,Commercial,Urban (>70% Developed),PERSON ST,Urban,30 - 35  MPH,Stop And Go Signal,Rain,No,14,11-15,No,NA,NA,C: Possible Injury,NA,Black,Male,50,50-59,No,NA,31-35 mph,O: No Injury,Black,Female,Passenger Car,No,10DEC2013,Tuesday,Other/Unknown - Insufficient Details,7,Non-Intersection,December,C: Possible Injury,07:22:00,Unknown Approach Paths,2013,Yes,No,Daylight,Straight - Level,Local Street,"Water (Standing, Moving)","One-Way, Not Divided",None,No Special Feature,Smooth Asphalt,3 lanes,"35.7759970789, -78.6351026075"
1668,Whiteville,Columbus,Coastal,Residential,Rural (<30% Developed),FLOWERS-PRIDGEN RD,Urban,30 - 35  MPH,No Control Present,Clear,No,16,16-19,No,NA,Facing Traffic,C: Possible Injury,NA,Black,Male,32,30-39,No,NA,6-10 mph,O: No Injury,White,Male,Pickup,No,25NOV2013,Monday,Bicyclist Right Turn / Merge,15,Non-Intersection,November,C: Possible Injury,15:23:00,Bicyclist Right Turn - Same Direction,2013,Yes,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,2 lanes,"34.3486067664, -78.7019025548"
1662,New Bern,Craven,Coastal,Residential,Urban (>70% Developed),SUTTON ST,Urban,20 - 25  MPH,No Control Present,Rain,No,54,50-59,No,NA,With Traffic,C: Possible Injury,Travel Lane,Black,Male,69,60-69,No,NA,0-5 mph,O: No Injury,Black,Female,Passenger Car,No,29NOV2013,Friday,Motorist Overtaking Bicyclist,2,Non-Intersection,November,C: Possible Injury,02:28:00,Motorist Overtaking - Other / Unknown,2013,No,No,Daylight,Straight - Level,Local Street,Wet,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,2 lanes,"35.1149669893, -77.0555020935"
