dteday,workingday,weather,casual,registered
2011-01-01,0,1,331,654
2011-01-02,0,2,131,670
2011-01-03,1,1,120,1229
2011-01-04,1,1,108,1454
2011-01-05,1,1,82,1518
2011-01-06,1,1,88,1518
2011-01-07,1,2,148,1362
2011-01-08,0,2,68,891
2011-01-09,0,1,54,768
2011-01-10,1,1,41,1280
2011-01-11,1,1,43,1220
2011-01-12,1,2,25,1137
2011-01-13,1,1,38,1368
2011-01-14,1,1,54,1367
2011-01-15,0,1,222,1026
2011-01-16,0,1,251,953
2011-01-17,0,2,117,883
2011-01-18,1,2,9,674
2011-01-19,1,2,78,1572
2011-01-20,1,1,83,1844
2011-01-21,1,2,75,1468
2011-01-22,0,1,93,888
2011-01-23,0,1,150,836
2011-01-24,1,1,86,1330
2011-01-25,1,2,186,1799
2011-01-26,1,2,34,472
2011-01-27,1,1,15,416
2011-01-28,1,2,38,1129
2011-01-29,0,1,123,975
2011-01-30,0,1,140,956
2011-01-31,1,2,42,1459
2011-02-01,1,2,47,1313
2011-02-02,1,3,72,1454
2011-02-03,1,1,61,1489
2011-02-04,1,2,88,1620
2011-02-05,0,2,100,905
2011-02-06,0,1,354,1269
2011-02-07,1,1,120,1592
2011-02-08,1,2,64,1466
2011-02-09,1,1,53,1552
2011-02-10,1,3,47,1491
2011-02-11,1,1,149,1597
2011-02-12,0,1,288,1184
2011-02-13,0,1,397,1192
2011-02-14,1,1,208,1705
2011-02-15,1,1,140,1675
2011-02-16,1,1,218,1897
2011-02-17,1,1,259,2216
2011-02-18,1,1,579,2348
2011-02-19,0,1,532,1103
2011-02-20,0,1,639,1173
2011-02-21,0,2,195,912
2011-02-22,1,2,74,1376
2011-02-23,1,1,139,1778
2011-02-24,1,1,100,1707
2011-02-25,1,3,120,1341
2011-02-26,0,1,424,1545
2011-02-27,0,1,694,1708
2011-02-28,1,2,81,1365
2011-03-01,1,1,137,1714
2011-03-02,1,1,231,1903
2011-03-03,1,1,123,1562
2011-03-04,1,2,214,1730
2011-03-05,0,2,640,1437
2011-03-06,0,2,114,491
2011-03-07,1,3,244,1628
2011-03-08,1,1,316,1817
2011-03-09,1,1,191,1700
2011-03-10,1,3,46,577
2011-03-11,1,2,247,1730
2011-03-12,0,1,724,1408
2011-03-13,0,1,982,1435
2011-03-14,1,1,359,1687
2011-03-15,1,1,289,1767
2011-03-16,1,3,321,1871
2011-03-17,1,1,424,2320
2011-03-18,1,1,884,2355
2011-03-19,0,2,1424,1693
2011-03-20,0,1,1047,1424
2011-03-21,1,3,401,1676
2011-03-22,1,1,460,2243
2011-03-23,1,3,203,1918
2011-03-24,1,2,166,1699
2011-03-25,1,1,300,1910
2011-03-26,0,2,981,1515
2011-03-27,0,2,472,1221
2011-03-28,1,1,222,1806
2011-03-29,1,1,317,2108
2011-03-30,1,2,168,1368
2011-03-31,1,3,179,1506
2011-04-01,1,3,307,1920
2011-04-02,0,2,898,1354
2011-04-03,0,1,1651,1598
2011-04-04,1,1,734,2381
2011-04-05,1,1,167,1628
2011-04-06,1,1,413,2395
2011-04-07,1,1,571,2570
2011-04-08,1,2,172,1299
2011-04-09,0,2,879,1576
2011-04-10,0,2,1188,1707
2011-04-11,1,1,855,2493
2011-04-12,1,2,257,1777
2011-04-13,1,2,209,1953
2011-04-14,1,1,529,2738
2011-04-15,0,1,642,2484
2011-04-16,0,2,121,674
2011-04-17,0,2,1558,2186
2011-04-18,1,1,669,2760
2011-04-19,1,1,409,2795
2011-04-20,1,1,613,3331
2011-04-21,1,1,745,3444
2011-04-22,1,1,177,1506
2011-04-23,0,2,1462,2574
2011-04-24,0,1,1710,2481
2011-04-25,1,3,773,3300
2011-04-26,1,1,678,3722
2011-04-27,1,1,547,3325
2011-04-28,1,1,569,3489
2011-04-29,1,1,878,3717
2011-04-30,0,2,1965,3347
2011-05-01,0,1,1138,2213
2011-05-02,1,1,847,3554
2011-05-03,1,2,603,3848
2011-05-04,1,3,255,2378
2011-05-05,1,1,614,3819
2011-05-06,1,1,894,3714
2011-05-07,0,1,1612,3102
2011-05-08,0,2,1401,2932
2011-05-09,1,1,664,3698
2011-05-10,1,1,694,4109
2011-05-11,1,2,550,3632
2011-05-12,1,2,695,4169
2011-05-13,1,2,692,3413
2011-05-14,0,2,902,2507
2011-05-15,0,2,1582,2971
2011-05-16,1,1,773,3185
2011-05-17,1,2,678,3445
2011-05-18,1,2,536,3319
2011-05-19,1,1,735,3840
2011-05-20,1,1,909,4008
2011-05-21,0,1,2258,3547
2011-05-22,0,1,1576,3084
2011-05-23,1,2,836,3438
2011-05-24,1,2,659,3833
2011-05-25,1,3,740,4238
2011-05-26,1,1,758,3919
2011-05-27,1,1,871,3808
2011-05-28,0,1,2001,2757
2011-05-29,0,1,2355,2433
2011-05-30,0,1,1549,2549
2011-05-31,1,1,673,3309
2011-06-01,1,1,513,3461
2011-06-02,1,1,736,4232
2011-06-03,1,1,898,4414
2011-06-04,0,1,1869,3473
2011-06-05,0,1,1685,3221
2011-06-06,1,1,673,3875
2011-06-07,1,1,763,4070
2011-06-08,1,1,676,3725
2011-06-09,1,2,563,3352
2011-06-10,1,3,815,3771
2011-06-11,0,1,1729,3237
2011-06-12,0,1,1467,2993
2011-06-13,1,1,863,4157
2011-06-14,1,1,727,4164
2011-06-15,1,1,769,4411
2011-06-16,1,1,545,3222
2011-06-17,1,1,863,3981
2011-06-18,0,1,1807,3312
2011-06-19,0,1,1639,3105
2011-06-20,1,1,699,3311
2011-06-21,1,1,774,4061
2011-06-22,1,1,661,3846
2011-06-23,1,1,746,4044
2011-06-24,1,1,969,4022
2011-06-25,0,1,1782,3420
2011-06-26,0,1,1920,3385
2011-06-27,1,3,854,3854
2011-06-28,1,2,732,3916
2011-06-29,1,2,848,4377
2011-06-30,1,1,1027,4488
2011-07-01,1,1,1246,4116
2011-07-02,0,1,2204,2915
2011-07-03,0,1,2282,2367
2011-07-04,0,1,3065,2978
2011-07-05,1,2,1031,3634
2011-07-06,1,1,784,3845
2011-07-07,1,1,754,3838
2011-07-08,1,1,692,3348
