score,repay
37,True
39,True
41,True
43,True
44,True
44,True
45,True
46,True
47,True
47,True
48,True
48,True
49,True
49,True
50,True
50,True
50,True
51,True
51,True
52,True
52,True
52,True
53,True
53,True
53,True
54,True
54,True
54,True
54,True
55,True
55,True
55,True
56,True
56,True
56,True
56,True
57,True
57,True
57,True
57,True
58,True
58,True
58,True
58,True
59,True
59,True
59,True
59,True
60,True
60,True
60,True
61,True
61,True
61,True
61,True
62,True
62,True
62,True
62,True
63,True
63,True
63,True
63,True
64,True
64,True
64,True
64,True
65,True
65,True
65,True
66,True
66,True
66,True
66,True
67,True
67,True
67,True
68,True
68,True
68,True
69,True
69,True
70,True
70,True
70,True
71,True
71,True
72,True
72,True
73,True
73,True
74,True
75,True
76,True
76,True
77,True
79,True
81,True
83,True
17,False
19,False
21,False
23,False
24,False
24,False
25,False
26,False
27,False
27,False
28,False
28,False
29,False
29,False
30,False
30,False
30,False
31,False
31,False
32,False
32,False
32,False
33,False
33,False
33,False
34,False
34,False
34,False
34,False
35,False
35,False
35,False
36,False
36,False
36,False
36,False
37,False
37,False
37,False
37,False
38,False
38,False
38,False
38,False
39,False
39,False
39,False
39,False
40,False
40,False
40,False
41,False
41,False
41,False
41,False
42,False
42,False
42,False
42,False
43,False
43,False
43,False
43,False
44,False
44,False
44,False
44,False
45,False
45,False
45,False
46,False
46,False
46,False
46,False
47,False
47,False
47,False
48,False
48,False
48,False
49,False
49,False
50,False
50,False
50,False
51,False
51,False
52,False
52,False
53,False
53,False
54,False
55,False
56,False
56,False
58,False
59,False
61,False
63,False
